Subject Code,Subject Description
AAS,African American Studies
ABG,Animal Biology Graduate
ABI,Animal Biology
ABS,*Applied Behavioral Sciences
ABT,Applied Biological Systems Technology
ACC,Professional Accountancy
ADM,*Administration
ADS,*Administrative Studies
AED,Agricultural Education
AER,*Aerospace Studies
AET,*Agricultural Engineering Tech
AGC,Agricultural & Environmental Chemistry
AGE,*Agricultural Economics
AGR,*Agronomy
AGS,*Agrarian Studies
AHE,*Agricultural & Home Economics
AHI,Art History
ALL,*Allergy (Internal Medicine)
AMR,*Agric Mngt & Range Resources
AMS,American Studies
ANA,*Veterinary Anatomy & Cell Bio
ANB,Animal Behavior
ANE,Anesthesiology
ANG,Animal Genetics
ANM,*Animal Science and Management
ANS,Animal Science
ANT,Anthropology
APC,"Anatomy, Physiology & Cell Biology"
API,*Applied Sciences
APR,*Agricultural Practices
ARB,Arabic
ARC,*Architecture
ARE,Agricultural & Resource Economics
ARH,*Archaeology
ARM,*Armenia
ART,Art Studio
ASA,Asian American Studies
ASC,*Agricultural Science
ASE,*Agricultural Systems & Envir
ASM,*Agricultural Science & Manag
AST,Astronomy
ATM,Atmospheric Science
AVS,Avian Sciences
BAC,*Bacteriology
BAX,Business Analytics
BCB,"Biochemistry, Molecular, Cellular & Developmental Biology"
BCH,*Biochemistry (Graduate Group)
BCM,Biological Chemistry
BCP,*Biochemistry & Biophysics
BEH,*Behavioral Biology-Medicine
BES,*Biomedical & Environ Hlth Sci
BIM,Engineering Biomedical
BIO,*Biology
BIS,Biological Sciences
BIT,Biotechnology
BLC,*Biological Chemistry
BLK,*Black Studies
BMB,*Biochemistry & Molec Biol Grad
BOT,*Botany
BPH,Biophysics
BPT,Biophotonics
BST,Biostatistics
BUA,*Business Administration
CAN,*Cantonese
CAR,Cardiology
CDB,*Cell & Developmental Biol Grad
CDM,Cinema & Digital Media
CEL,*Celtic
CGS,Cognitive Science
CHA,Cell Biology & Human Anatomy
CHE,Chemistry
CHI,Chicano Studies
CHN,Chinese
CLA,Classics
CLH,Clinical Research
CLP,*Clinical Pathology-Vet.Med.
CLR,*Colleges at La Rue
CMH,*Med - Community & Intl Health
CMM,*Communications
CMN,Communication
CMP,*Community & Post Graduate Med
CNE,*Consumer Economics
CNS,Consumer Sciences
CNT,*Consumer Technology
COM,Comparative Literature
CPS,*Med - Clinical Psychology
CRD,Community & Regional Development
CRI,Critical Theory
CRO,*Croatian
CRS,*Conservation & Resource Study
CRV,*Cardiovascular Physio-Int Med
CSC,*Clinical Sciences-Veterinary
CSI,*Computer Science
CSM,*Crop Science & Management
CST,Cultural Studies
CTS,Cinema & Technocultural Studies
CYP,*City Planning
DAN,*Danish
DEB,"Designated Emphasis, Biotechnology"
DER,Dermatology
DES,Design
DRA,Dramatic Art
DUT,*Dutch
DVB,*Development Biochemistry
DVM,Veterinary Clinical Rotation
DVS,*Development Studies
EAD,Engineering Applied Science-Davis
EAE,Aerospace Science & Engineering
EAG,*Engineering Agricultural
